"","Tubelabel_species","Date_Extracted","Raw_ng_ul","Date_Enriched","Microbe_Location","Month_year","colony","CollectionDate","Species","Health_status","Sample_physical_location","Extraction_physical_location","immune_y.n","Condition"
"1","042024_BEL_CBC_T1_1146_OANN","9_9_2024","14.6","","","042024","1_22","4/30/24","OANN","Diseased_Tissue","UML_NARWHAL_R5_B25","UML_NARWHAL_R2_B11","n","CLP"
"2","042024_BEL_CBC_T1_933_SSID","9_9_2024","25.4","","","042024","1_5","4/25/24","SSID","Diseased_Tissue","UML_NARWHAL_R5_B24","UML_NARWHAL_R2_B11","n","Diseased"
"3","042024_BEL_CBC_T1_938_SSID","9_9_2024","4.08","","","042024","1_16","4/25/24","SSID","Diseased_Tissue","UML_NARWHAL_R5_B24","UML_NARWHAL_R2_B11","n","Diseased"
"4","042024_BEL_CBC_T1_940_SSID","9_9_2024","63.2","","","042024","1_17","4/25/24","SSID","Diseased_Tissue","UML_NARWHAL_R5_B24","UML_NARWHAL_R2_B11","n","Diseased, CLP"
"5","042024_BEL_CBC_T2_1030_SSID","9_9_2024","24.6","","","042024","2_52","4/26/24","SSID","Diseased_Tissue","UML_NARWHAL_R5_B24","UML_NARWHAL_R2_B11","n","Diseased"
"6","042024_BEL_CBC_T3_1011_SSID","9_9_2024","7.42","","","042024","3_19","4/25/24","SSID","Diseased_Tissue","UML_NARWHAL_R5_B24","UML_NARWHAL_R2_B11","n","Diseased"
"7","042024_BEL_CBC_T3_1012_SSID","9_9_2024","32.2","","","042024","3_3","4/25/24","SSID","Diseased_Tissue","UML_NARWHAL_R5_B24","UML_NARWHAL_R2_B11","n","Diseased"
"8","042024_BEL_CBC_T3_1057_SSID","9_9_2024","27.2","","","042024","3_28","4/25/24","SSID","Diseased_Tissue","UML_NARWHAL_R5_B24","UML_NARWHAL_R2_B11","n","Diseased"
"9","042024_BEL_CBC_T3_962_SSID","9_9_2024","19.4","","","042024","3_36","4/25/24","SSID","Diseased_Tissue","UML_NARWHAL_R5_B24","UML_NARWHAL_R2_B11","n","Diseased"
"10","052022_BEL_CBC_T1_10_PSTR","6_15_2023","11.1","10_17_2023","UML_NARWHAL_R2_B1","052022","1_4","5/21/22","PSTR","Diseased_Margin","UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B3","n","Diseased"
"11","052022_BEL_CBC_T1_11_PSTR","6_15_2023","3.2","10_17_2023","UML_NARWHAL_R2_B1","052022","1_4","5/21/22","PSTR","Diseased_Tissue","UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B3","n","Diseased"
"12","052022_BEL_CBC_T1_12_MCAV","6_10_2022","7.52","10_30_2024","UML_NARWHAL_R6_B27","052022","1_8","5/21/22","MCAV","Diseased_Margin","Depleted_ UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","n","Diseased"
"13","052022_BEL_CBC_T1_13_MCAV","2022","4.3","11_8_2024","UML_NARWHAL_R6_B27","052022","1_8","5/21/22","MCAV","Diseased_Tissue","Depleted_UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","n","Diseased"
"14","052022_BEL_CBC_T1_17_SSID","2022","","","","052022","1_17","5/21/22","SSID","Diseased_Tissue","UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B32,  UML_NARWHAL_R2_B35","n","Diseased"
"15","052022_BEL_CBC_T1_39_MCAV","7_17_2024","7.32","10_29_2024","UML_NARWHAL_R6_B30","052022","1_14","5/21/22","MCAV","Diseased_Margin","UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B26","n","Diseased"
"16","052022_BEL_CBC_T1_4_PSTR","6_8_2023","28.2","10_6_2023","UML_NARWHAL_R6_B1","052022","1_6","5/21/22","PSTR","Healthy","UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B3","n","Healthy"
"17","052022_BEL_CBC_T1_40_MCAV","2022","13.9","11_8_2024","UML_NARWHAL_R6_B27","052022","1_15","5/21/22","MCAV","Diseased_Margin","Depleted_UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","n","Diseased"
"18","052022_BEL_CBC_T1_41_OANN","6_21_2023","11.1","10_16_2023","UML_NARWHAL_R6_B1","052022","1_22","5/21/22","OANN","Healthy","Depleted_UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B3","n","Healthy"
"19","052022_BEL_CBC_T1_52_PAST","6_17_2022","8.1","10_30_2024","UML_NARWHAL_R6_B27","052022","1_19","5/21/22","PAST","Diseased_Tissue","UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B32","n","Diseased"
"20","052022_BEL_CBC_T1_60_MCAV","7_19_2024","4.47","10_29_2024","UML_NARWHAL_R6_B30","052022","1_14","5/21/22","MCAV","Diseased_Tissue","UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B26","n","Diseased"
"21","052022_BEL_CBC_T1_61_PAST","8_19_2024","8.35","9_28_2024","UML_NARWHAL_R6_B30","052022","1_20","5/21/22","PAST","Healthy","UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34","n","Healthy"
"22","052022_BEL_CBC_T1_70_MCAV","6_14_2022","48.8","10_30_2024","UML_NARWHAL_R6_B27","052022","1_15","5/21/22","MCAV","Diseased_Tissue","Depleted_UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","n","Diseased"
"23","052022_BEL_CBC_T2_45_PSTR","10_10_2023","22.8","10_17_2023","UML_NARWHAL_R2_B1","052022","2_70","5/22/22","PSTR","Diseased_Margin","UML_NARWHAL_R1_B8","UML_NARWHAL_R2_B3","n","Diseased"
"24","052022_BEL_CBC_T2_46_PSTR","10_10_2023","63.9","10_17_2023","UML_NARWHAL_R2_B1","052022","2_70","5/22/22","PSTR","Diseased_Tissue","UML_NARWHAL_R1_B8","UML_NARWHAL_R2_B3","n","Diseased"
"25","052022_BEL_CBC_T2_60_PAST","8_9_2024","2.44","10_29_2024","UML_NARWHAL_R6_B30","052022","2_56","5/22/22","PAST","Diseased_Margin","UML_NARWHAL_R1_B8","UML_NARWHAL_R2_B26","n","Diseased"
"26","052022_BEL_CBC_T2_60_PAST","8_9_2024","2.44","10_29_2024","UML_NARWHAL_R6_B30","052022","2_56","5/22/22","PAST","Diseased_Margin","UML_NARWHAL_R1_B8","UML_NARWHAL_R2_B26","n","Dead"
"27","052022_BEL_CBC_T2_62_PAST","11_2_2024","0.522","11_8_2024","UML_NARWHAL_R6_B27","052022","2_56","5/22/22","PAST","Diseased_Tissue","UML_NARWHAL_R1_B8","UML_NARWHAL_R2_B29","n","Diseased"
"28","052022_BEL_CBC_T2_62_PAST","11_2_2024","0.522","11_8_2024","UML_NARWHAL_R6_B27","052022","2_56","5/22/22","PAST","Diseased_Tissue","UML_NARWHAL_R1_B8","UML_NARWHAL_R2_B29","n","Dead"
"29","052022_BEL_CBC_T2_72_OFAV","10_3_2023","47.6","10_11_23","UML_NARWHAL_R6_B1","052022","2_80","5/24/22","OFAV","Healthy","Depleted_UML_NARWHAL_R1_B8","UML_NARWHAL_R2_B3","n","Healthy"
"30","052022_BEL_CBC_T3_40_MCAV","6_14_2022","23","10_30_2024","UML_NARWHAL_R6_B27","052022","3_22","5/20/22","MCAV","Diseased_Margin","UML_NARWHAL_R1_B3","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","n","Diseased"
