,Tubelabel_species,Health_Status,Date_Extracted,Raw_ng_ul,Extraction_physical_location,Date_Enriched,Microbe_Location,colony,Date_16S,Date_ITS2,16S_double_band
,052022_BEL_CBC_T1_2_SSID,Healthy,12_2_2024,7.73,"UML_NARWHAL_R2_B14, UML_NARWHAL_R2_B33",,,1_3,1_22_2025,6_26_2025,
,092023_BEL_CBC_T1_175_PAST,Healthy,1_15_2025,2.3,UML_NARWHAL_R2_B15,,,1_13,1_22_2025,6_26_2025,y
,022024_BEL_CBC_T3_851_PSTR,Healthy,11_26_2024,64.2,UML_NARWHAL_R2_B13,,,3_70,1_23_2025,6_26_2025,
,082024_BEL_CBC_T4_1609_OFAV,Healthy,1_15_2025,61.2,UML_NARWHAL_R2_B15,,,4_78,1_23_2025,6_26_2025,y
,122023_BEL_CBC_T3_526_SSID,Healthy,11_19_2024,16.4,UML_NARWHAL_R2_B13,,,3_5,1_23_2025,6_26_2025,
,112023_BEL_CBC_T4_399_MCAV,Healthy,11_15_2024,13.9,UML_NARWHAL_R2_B12,,,4_76,1_23_2025,6_26_2025,
,112023_BEL_CBC_T3_355_PSTR,Healthy,11_15_2024,1.27,UML_NARWHAL_R2_B12,,,3_70,1_23_2025,6_26_2025,
,082024_BEL_CBC_T3_1554_OANN,Healthy,1_15_2025,199.6,UML_NARWHAL_R2_B15,,,3_38,1_23_2025,6_27_2025,
,042024_BEL_CBC_T2_1018_PAST,Healthy,12_2_2024,25.9,UML_NARWHAL_R2_B14,,,2_57,1_23_2025,6_27_2025,y
,052022_BEL_CBC_T3_11_PAST,Healthy,8_19_2024,8.57,"UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34",9_28_2024,UML_NARWHAL_R6_B30,3_6,2_24_2025,6_27_2025,
,062019_BEL_CBC_T1_22_MCAV,Healthy,11_26_2024; 2022,34.2; 6.67,UML_NARWHAL_R2_B33,11_5_2024 (from 2022 extract),UML_NARWHAL_R6_B27,1_24,2_24_2025,6_27_2025,
