"","Tubelabel_species","Date_Extracted","Raw_ng_ul","Date_Enriched","Microbe_Location","Month_year","colony","CollectionDate","Species","Health_status","Sample_physical_location","Extraction_physical_location","immune_y.n","Condition"
"1","012024_BEL_CBC_T1_557_SSID","2_17_2025","44.6","","","012024","1_3","1/10/24","SSID","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"2","012024_BEL_CBC_T1_559_MCAV","2_17_2025","14.8","","","012024","1_24","1/10/24","MCAV","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"3","012024_BEL_CBC_T1_561_OANN","2_17_2025","18","","","012024","1_25","1/10/24","OANN","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"4","012024_BEL_CBC_T1_563_PSTR","2_17_2025","35.8","","","012024","1_12","1/10/24","PSTR","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"5","012024_BEL_CBC_T1_565_PAST","2_17_2025","7.72","","","012024","1_21","1/10/24","PAST","Bleached_Tissue","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","CLP"
"6","012024_BEL_CBC_T2_585_OFAV","2_17_2025","71.6","","","012024","2_76","1/12/24","OFAV","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"7","012024_BEL_CBC_T2_587_SSID","2_17_2025","48.8","","","012024","2_72","1/12/24","SSID","Bleached_Tissue","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","CLB"
"8","012024_BEL_CBC_T2_589_SSID","2_17_2025","47.6","","","012024","2_73","1/12/24","SSID","Bleached_Tissue","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","CLB"
"9","012024_BEL_CBC_T2_591_PAST","2_17_2025","29.4","","","012024","2_68","1/12/24","PAST","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"10","012024_BEL_CBC_T2_593_MCAV","2_17_2025","24.8","","","012024","2_69","1/12/24","MCAV","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"11","012024_BEL_CBC_T2_595_PAST","2_17_2025","21.8","","","012024","2_63","1/12/24","PAST","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"12","012024_BEL_CBC_T2_597_PAST","2_17_2025","1.88","","","012024","2_57","1/12/24","PAST","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"13","012024_BEL_CBC_T2_599_MCAV","2_17_2025","21.8","","","012024","2_60","1/12/24","MCAV","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"14","012024_BEL_CBC_T2_601_OFAV","2_17_2025","89","","","012024","2_79","1/12/24","OFAV","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"15","012024_BEL_CBC_T2_603_MCAV","2_17_2025","5.66","","","012024","2_55","1/12/24","MCAV","Bleached_Tissue","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","CLP"
"16","012024_BEL_CBC_T2_605_SSID","2_17_2025","59.8","","","012024","2_99","1/12/24","SSID","Bleached_Tissue","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","CLB"
"17","012024_BEL_CBC_T3_625_SSID","2_20_2025","16.2","","","012024","3_33","1/10/24","SSID","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","DC"
"18","012024_BEL_CBC_T3_627_PAST","2_20_2025","10.5","","","012024","3_34","1/10/24","PAST","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"19","012024_BEL_CBC_T3_629_OFAV","2_20_2025","62","","","012024","3_39","1/10/24","OFAV","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"20","012024_BEL_CBC_T3_631_MCAV","2_20_2025","77.6","","","012024","3_21","1/10/24","MCAV","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"21","012024_BEL_CBC_T3_633_MCAV","2_17_2025","49.8","","","012024","3_2","1/10/24","MCAV","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Diseased_Other, CLP"
"22","012024_BEL_CBC_T3_635_OFAV","2_20_2025","90.4","","","012024","3_38","1/10/24","OFAV","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"23","012024_BEL_CBC_T3_637_SSID","2_20_2025","6.46","","","012024","3_5","1/10/24","SSID","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"24","012024_BEL_CBC_T3_639_OFAV","2_20_2025","77.8","","","012024","3_66","1/10/24","OFAV","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"25","012024_BEL_CBC_T3_640_MCAV","2_20_2025","7.4","","","012024","3_14","1/10/24","MCAV","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"26","012024_BEL_CBC_T3_642_PSTR","2_20_2025","2.04","","","012024","3_20","1/10/24","PSTR","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"27","012024_BEL_CBC_T3_644_PSTR","2_20_2025","48.8","","","012024","3_70","1/10/24","PSTR","Bleached_Tissue","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","CLP"
"28","012024_BEL_CBC_T4_661_PSTR","2_20_2025","1.41","","","012024","4_98","1/9/24","PSTR","Bleached_Tissue","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","CLB"
"29","012024_BEL_CBC_T4_663_PSTR","2_20_2025","8.44","","","012024","4_79","1/9/24","PSTR","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"30","012024_BEL_CBC_T4_665_MCAV","2_20_2025","16.3","","","012024","4_76","1/9/24","MCAV","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"31","012024_BEL_CBC_T4_667_OFAV","2_20_2025","55.8","","","012024","4_78","1/9/24","OFAV","Bleached_Tissue","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","CLP"
"32","012024_BEL_CBC_T4_669_MCAV","2_20_2025","30.8","","","012024","4_30","1/9/24","MCAV","Healthy","UML_NARWHAL_R5_B18","UML_NARWHAL_R2_B16","y","Healthy"
"33","022024_BEL_CBC_T1_771_PAST","11_22_2024","23.8","","","022024","1_2","2/23/24","PAST","Healthy","UML_NARWHAL_R5_B23","UML_NARWHAL_R2_B13","y","Healthy"
"34","022024_BEL_CBC_T1_773_SSID","11_22_2024","61.8","","","022024","1_3","2/23/24","SSID","Healthy","UML_NARWHAL_R5_B23","UML_NARWHAL_R2_B13","y","Diseased"
"35","022024_BEL_CBC_T1_774_MCAV","11_22_2024","31.2","","","022024","1_24","2/23/24","MCAV","Healthy","UML_NARWHAL_R5_B23","UML_NARWHAL_R2_B13","y","Healthy"
"36","022024_BEL_CBC_T1_775_OANN","11_22_2024","13.8","","","022024","1_25","2/23/24","OANN","Healthy","UML_NARWHAL_R5_B23","UML_NARWHAL_R2_B13","y","Healthy"
"37","022024_BEL_CBC_T1_776_PSTR","11_22_2024","20.2","","","022024","1_12","2/23/24","PSTR","Healthy","UML_NARWHAL_R5_B23","UML_NARWHAL_R2_B13","y","Healthy"
"38","022024_BEL_CBC_T2_804_OFAV","11_22_2024","86.8","","","022024","2_76","2/22/24","OFAV","Healthy","UML_NARWHAL_R5_B23","UML_NARWHAL_R2_B13","y","Healthy"
"39","022024_BEL_CBC_T2_805_SSID","9_10_2024","10.2","","","022024","2_72","2/22/24","SSID","Diseased_Tissue","UML_NARWHAL_R5_B23","UML_NARWHAL_R2_B11","y","Diseased"
"40","022024_BEL_CBC_T2_806_SSID","11_4_2024","2.46","","","022024","2_72","2/22/24","SSID","Diseased_Margin","UML_NARWHAL_R5_B23","UML_NARWHAL_R2_B11","y","Diseased"
"41","022024_BEL_CBC_T2_807_SSID","11_22_2024","77.6","","","022024","2_73","2/22/24","SSID","Bleached_Tissue","UML_NARWHAL_R5_B23","UML_NARWHAL_R2_B13","y","CLB"
"42","022024_BEL_CBC_T2_808_PAST","11_22_2024","32","","","022024","2_68","2/22/24","PAST","Healthy","UML_NARWHAL_R5_B23","UML_NARWHAL_R2_B13","y","Healthy"
"43","022024_BEL_CBC_T2_809_MCAV","11_22_2024","52.6","","","022024","2_69","2/22/24","MCAV","Healthy","UML_NARWHAL_R5_B23","UML_NARWHAL_R2_B13","y","Healthy"
"44","022024_BEL_CBC_T2_810_SSID","11_22_2024","81.2","","","022024","2_99","2/22/24","SSID","Bleached_Tissue","UML_NARWHAL_R5_B23","UML_NARWHAL_R2_B13","y","CLP"
"45","022024_BEL_CBC_T2_811_PAST","11_22_2024","13.5","","","022024","2_63","2/22/24","PAST","Healthy","UML_NARWHAL_R5_B23","UML_NARWHAL_R2_B13","y","Healthy"
"46","022024_BEL_CBC_T2_812_PAST","11_22_2024","26.6","","","022024","2_57","2/22/24","PAST","Healthy","UML_NARWHAL_R5_B23","UML_NARWHAL_R2_B13","y","Healthy"
"47","022024_BEL_CBC_T2_813_MCAV","11_22_2024","69","","","022024","2_55","2/22/24","MCAV","Healthy","UML_NARWHAL_R5_B23","UML_NARWHAL_R2_B13","y","Healthy"
"48","022024_BEL_CBC_T2_814_MCAV","11_22_2024","58.2","","","022024","2_60","2/22/24","MCAV","Healthy","UML_NARWHAL_R5_B23","UML_NARWHAL_R2_B13","y","Healthy"
"49","022024_BEL_CBC_T2_815_OFAV","11_22_2024","60.2","","","022024","2_79","2/22/24","OFAV","Healthy","UML_NARWHAL_R5_B23","UML_NARWHAL_R2_B13","y","Healthy"
"50","022024_BEL_CBC_T3_842_MCAV","9_10_2024","27","","","022024","3_2","2/24/24","MCAV","Diseased_Tissue","UML_NARWHAL_R5_B23","UML_NARWHAL_R2_B11","y","Diseased_Other"
