"","Tubelabel_species","Health_Status","Date_Extracted","Raw_ng_ul","Extraction_physical_location","Date_Enriched","Microbe_Location","colony"
"1","042024_BEL_CBC_T1_1146_OANN","Diseased_Tissue","9_9_2024","14.6","UML_NARWHAL_R2_B11","","","1_22"
"2","042024_BEL_CBC_T1_933_SSID","Diseased_Tissue","9_9_2024","25.4","UML_NARWHAL_R2_B11","","","1_5"
"3","042024_BEL_CBC_T1_938_SSID","Diseased_Tissue","9_9_2024","4.08","UML_NARWHAL_R2_B11","","","1_16"
"4","042024_BEL_CBC_T1_940_SSID","Diseased_Tissue","9_9_2024","63.2","UML_NARWHAL_R2_B11","","","1_17"
"5","042024_BEL_CBC_T2_1030_SSID","Diseased_Tissue","9_9_2024","24.6","UML_NARWHAL_R2_B11","","","2_52"
"6","042024_BEL_CBC_T3_1011_SSID","Diseased_Tissue","9_9_2024","7.42","UML_NARWHAL_R2_B11","","","3_19"
"7","042024_BEL_CBC_T3_1012_SSID","Diseased_Tissue","9_9_2024","32.2","UML_NARWHAL_R2_B11","","","3_3"
"8","042024_BEL_CBC_T3_1057_SSID","Diseased_Tissue","9_9_2024","27.2","UML_NARWHAL_R2_B11","","","3_28"
"9","042024_BEL_CBC_T3_962_SSID","Diseased_Tissue","9_9_2024","19.4","UML_NARWHAL_R2_B11","","","3_36"
"10","052022_BEL_CBC_T1_10_PSTR","Diseased_Margin","6_15_2023","11.1","UML_NARWHAL_R2_B3","10_17_2023","UML_NARWHAL_R2_B1","1_4"
"11","052022_BEL_CBC_T1_11_PSTR","Diseased_Tissue","6_15_2023","3.2","UML_NARWHAL_R2_B3","10_17_2023","UML_NARWHAL_R2_B1","1_4"
"12","052022_BEL_CBC_T1_12_MCAV","Diseased_Margin","6_10_2022","7.52","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","10_30_2024","UML_NARWHAL_R6_B27","1_8"
"13","052022_BEL_CBC_T1_13_MCAV","Diseased_Tissue","2022","4.3","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","11_8_2024","UML_NARWHAL_R6_B27","1_8"
"14","052022_BEL_CBC_T1_17_SSID","Diseased_Tissue","2022","","UML_NARWHAL_R2_B32,  UML_NARWHAL_R2_B35","","","1_17"
"15","052022_BEL_CBC_T1_39_MCAV","Diseased_Margin","7_17_2024","7.32","UML_NARWHAL_R2_B26","10_29_2024","UML_NARWHAL_R6_B30","1_14"
"16","052022_BEL_CBC_T1_4_PSTR","Healthy","6_8_2023","28.2","UML_NARWHAL_R2_B3","10_6_2023","UML_NARWHAL_R6_B1","1_6"
"17","052022_BEL_CBC_T1_40_MCAV","Diseased_Margin","2022","13.9","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","11_8_2024","UML_NARWHAL_R6_B27","1_15"
"18","052022_BEL_CBC_T1_41_OANN","Healthy","6_21_2023","11.1","UML_NARWHAL_R2_B3","10_16_2023","UML_NARWHAL_R6_B1","1_22"
"19","052022_BEL_CBC_T1_52_PAST","Diseased_Tissue","6_17_2022","8.1","UML_NARWHAL_R2_B32","10_30_2024","UML_NARWHAL_R6_B27","1_19"
"20","052022_BEL_CBC_T1_60_MCAV","Diseased_Tissue","7_19_2024","4.47","UML_NARWHAL_R2_B26","10_29_2024","UML_NARWHAL_R6_B30","1_14"
"21","052022_BEL_CBC_T1_61_PAST","Healthy","8_19_2024","8.35","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34","9_28_2024","UML_NARWHAL_R6_B30","1_20"
"22","052022_BEL_CBC_T1_70_MCAV","Diseased_Tissue","6_14_2022","48.8","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","10_30_2024","UML_NARWHAL_R6_B27","1_15"
"23","052022_BEL_CBC_T2_45_PSTR","Diseased_Margin","10_10_2023","22.8","UML_NARWHAL_R2_B3","10_17_2023","UML_NARWHAL_R2_B1","2_70"
"24","052022_BEL_CBC_T2_46_PSTR","Diseased_Tissue","10_10_2023","63.9","UML_NARWHAL_R2_B3","10_17_2023","UML_NARWHAL_R2_B1","2_70"
"25","052022_BEL_CBC_T2_60_PAST","Diseased_Margin","8_9_2024","2.44","UML_NARWHAL_R2_B26","10_29_2024","UML_NARWHAL_R6_B30","2_56"
"26","052022_BEL_CBC_T2_62_PAST","Diseased_Tissue","11_2_2024","0.522","UML_NARWHAL_R2_B29","11_8_2024","UML_NARWHAL_R6_B27","2_56"
"27","052022_BEL_CBC_T2_72_OFAV","Healthy","10_3_2023","47.6","UML_NARWHAL_R2_B3","10_11_23","UML_NARWHAL_R6_B1","2_80"
"28","052022_BEL_CBC_T3_40_MCAV","Diseased_Margin","6_14_2022","23","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","10_30_2024","UML_NARWHAL_R6_B27","3_22"
"29","052022_BEL_CBC_T3_48_MCAV","Diseased_Margin","6_14_2022","25.2","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","10_30_2024","UML_NARWHAL_R6_B27","3_15"
"30","052022_BEL_CBC_T3_49_MCAV","Diseased_Tissue","6_14_2022","32","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","10_30_2024","UML_NARWHAL_R6_B27","3_15"
"31","052022_BEL_CBC_T3_50_MCAV","Diseased_Margin","6_14_2022","4.26","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","10_30_2024","UML_NARWHAL_R6_B27","3_17"
"32","052022_BEL_CBC_T3_51_MCAV","Diseased_Tissue","6_14_2022","18.6","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","10_30_2024","UML_NARWHAL_R6_B27","3_17"
"33","052022_BEL_CBC_T3_54_PAST","Diseased_Margin","8_9_2024","1.41","UML_NARWHAL_R2_B26","10_29_2024","UML_NARWHAL_R6_B30","3_18"
"34","052022_BEL_CBC_T3_55_PAST","Diseased_Tissue","8_9_2024","0.933","UML_NARWHAL_R2_B29","11_8_2024","UML_NARWHAL_R6_B27","3_18"
"35","052022_BEL_CBC_T3_60_MCAV","Diseased_Tissue","6_14_2022","12","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","11_8_2024","UML_NARWHAL_R6_B27","3_22"
"36","062019_BEL_CBC_T1_16_MCAV","Healthy","2022","15.5","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33","10_30_24","UML_NARWHAL_R6_B27","1_8"
"37","062019_BEL_CBC_T1_17_MCAV","Healthy","2022","4.34","UML_NARWHAL_R2_B33","11_5_2024","UML_NARWHAL_R6_B27","1_14"
"38","062019_BEL_CBC_T1_18_PAST","Healthy","9_11_2024","1.28","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34","10_6_2024","UML_NARWHAL_R6_B30","1_20"
"39","062019_BEL_CBC_T1_24_MCAV","Healthy","6_13_2022","21.2","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B33","11_5_2024","UML_NARWHAL_R6_B27","1_15"
"40","062019_BEL_CBC_T1_3_MCAV","Healthy","9_13_2024","29.6","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B33","10_9_2024","UML_NARWHAL_R6_B27","1_355"
"41","062019_BEL_CBC_T1_4_MCAV","Healthy","2022","9.36","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33","10_30_24","UML_NARWHAL_R6_B27","1_329"
"42","062019_BEL_CBC_T1_6_MCAV","Healthy","2022","7.03","UML_NARWHAL_R2_B33","11_5_2024","UML_NARWHAL_R6_B27","1_342"
"43","062019_BEL_CBC_T1_8_PAST","Healthy","6_17_2022","3.92","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","10_30_24","all_sent_for_sequencing","1_19"
"44","062019_BEL_CBC_T1_9_MCAV","Healthy","2022","3.56","UML_NARWHAL_R2_B33","11_5_2024","UML_NARWHAL_R6_B27","1_333"
"45","062019_BEL_CBC_T2_22_PAST","Healthy","9_11_2024","1.2","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34","10_6_2024","UML_NARWHAL_R6_B30","2_56"
"46","062019_BEL_CBC_T2_28_MCAV","Healthy","2022","3.3","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33","10_30_24","all_sent_for_sequencing","2_56"
"47","062019_BEL_CBC_T2_5_MCAV","Healthy","9_13_2024","9.48","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B33","10_9_2024","UML_NARWHAL_R6_B27","2_59"
"48","062019_BEL_CBC_T3_11_MCAV","Healthy","9_13_2024","12","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B33","10_9_2024","UML_NARWHAL_R6_B27","3_12"
"49","062019_BEL_CBC_T3_12_PAST","Healthy","2022","1.75","UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B32","11_6_2024","UML_NARWHAL_R6_B27","3_18"
"50","062019_BEL_CBC_T3_14_MCAV","Healthy","2022","12.6","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33","11_5_2024","UML_NARWHAL_R6_B27","3_17"
"51","062019_BEL_CBC_T3_15_MCAV","Healthy","6_13_2022","22.4","UML_NARWHAL_R2_B33, UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35","10_30_24","UML_NARWHAL_R6_B27","3_22"
"52","062019_BEL_CBC_T3_23_PAST","Healthy","2022","4.22","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B29, UML_NARWHAL_R2_B34","10_6_2024","UML_NARWHAL_R6_B30, (enrichment from 2022 extract - JF_TEMP)","3_24"
"53","062019_BEL_CBC_T3_28_SSID","","","","UML_NARWHAL_R2_B35","","","3_24"
"54","062019_BEL_CBC_T3_9_MCAV","Healthy","2022","5.2","UML_NARWHAL_R2_B32, UML_NARWHAL_R2_B35, UML_NARWHAL_R2_B33","11_5_2024","all_sent_for_sequencing","3_15"
"55","092023_BEL_CBC_T1_188_SSID","Diseased_Tissue","9_11_2024","6.22","UML_NARWHAL_R2_B11","","","1_5"
"56","092023_BEL_CBC_T1_190_OANN","Diseased_Tissue","9_11_2024","14.7","UML_NARWHAL_R2_B11","","","1_22"
"57","092023_BEL_CBC_T1_194_SSID","Diseased_Tissue","9_11_2024","15.7","UML_NARWHAL_R2_B11","","","1_16"
"58","092023_BEL_CBC_T1_196_SSID","Diseased_Tissue","9_11_2024","20.6","UML_NARWHAL_R2_B11","","","1_17"
"59","092023_BEL_CBC_T2_192_OFAV","Diseased_Tissue","9_11_2024","56","UML_NARWHAL_R2_B11","","","2_80"
"60","092023_BEL_CBC_T2_194_OANN","Diseased_Tissue","9_11_2024","28.4","UML_NARWHAL_R2_B11","","","2_30"
